User ID,First Name,Task ID,sub,Media URL,Media URL Shared,Type,Processed Text,Fear,Anger,Confident,Joy,Sadness,Analytical,Tentative
68,Daniel,10,a,https://drive.google.com/open?id=1-DacCNbLVZmdgBmEQkgFpFgjMAIXI4tu&authuser=nick@gauge.io,https://drive.google.com/open?id=1-DacCNbLVZmdgBmEQkgFpFgjMAIXI4tu,video,phone samsung start checking note eat guess gonna improve curved screen shatter proof waterproof camera features tanner performance expect advanced phone glass day nuts fast charters head leaving phone night charge hour talks largest display guess research happy begins note top pin constantly replace pulled tequila talked lines bigger photographer wife buy storeshopping,0,0,0,0,0.601306,0,0
68,Daniel,11,a,https://drive.google.com/open?id=1-G-rX5WE_Y5MkB7j1_ic7HvriKLcPV57&authuser=nick@gauge.io,https://drive.google.com/open?id=1-G-rX5WE_Y5MkB7j1_ic7HvriKLcPV57,video,alive extend warranty samsung tv swat tv laptop reason english pay bit money nice extra questions head warranty buy email xe receipt stored folderextendedyes time spent bit money protect,0,0,0,0,0,0.791857,0
68,Daniel,8,a,https://drive.google.com/open?id=1-F25HopTg5BcCCR1ks9S99EnVyG1kpQm&authuser=nick@gauge.io,https://drive.google.com/open?id=1-F25HopTg5BcCCR1ks9S99EnVyG1kpQm,photo,left laptop cord hotel wait replacement sucks depend,0,0,0,0,0,0,0.88939
68,Daniel,8,b,https://drive.google.com/open?id=1-H8tD6mohtBYf0c3Eovm-moCW2MY6s2E&authuser=nick@gauge.io,https://drive.google.com/open?id=1-H8tD6mohtBYf0c3Eovm-moCW2MY6s2E,photo,app phone ahead river updates frequently,0,0,0,0,0,0.620279,0
68,Daniel,7,a,https://drive.google.com/open?id=1-N1QEPuASNH9bY7awK8Rb5P7iSHDC92l&authuser=nick@gauge.io,https://drive.google.com/open?id=1-N1QEPuASNH9bY7awK8Rb5P7iSHDC92l,video,office stuff save junk guess save boxes technology brashears time pretty familiar items set online websiteboxesi galaxy phone box screenshots fast charger samsung website information,0,0,0,0,0,0,0.733853
68,Daniel,12,a,https://drive.google.com/open?id=1bbjfgt7JrmLjGs-IIYkBIKJFnOq0zXwq&authuser=nick@gauge.io,https://drive.google.com/open?id=1OkA_4U1tSbbSxAvNHAoohaR6LNhfGGsb,video,,0,0,0,0,0,0,0
100,Steven,10,a,https://drive.google.com/open?id=1-UuSLV8ec9dmX3C_VXltsVEfnKdRcm8b&authuser=nick@gauge.io,https://drive.google.com/open?id=1-UuSLV8ec9dmX3C_VXltsVEfnKdRcm8b,video,continue gonna continue iphone letting push gonna iphone step stock specs easier gonna difference iphone iphone determine added features worth additional additional cost display larger couple smart phone trade lot worth actual smart phone bit price iphone gonna bite carrier silver gonna lot videos price gonna finance pay months adding yesterday apple care simply dropped cracked bit worse worse time home screen stuck press anymore phone gonna buy gonna choose basic apple care tech support coverage hardware accidental damage pay apple care include financing pay fall gonna add financing gonna add check purchase apple store research online apple product tv,0,0,0,0,0.671405,0,0
100,Steven,10,b,https://drive.google.com/open?id=10BFyrpAdKabOG_du1M31j1jpB_2F4HKF&authuser=nick@gauge.io,https://drive.google.com/open?id=10BFyrpAdKabOG_du1M31j1jpB_2F4HKF,video,iphone typical process surgeon upper left iphone upgraded iphone iphone iphone gonna press priorities loading phone camera lot landscapes parks camera upgraded phone features specs terms weighs fits pocket looked phone features liquid retina um display telling guess positives front glass durable water resistance advanced id online actual product feel store idea gonna mess gonna cost model yeah xr select carrier choose finish gonna white capacity unavailable gigabyte price compare current price gonna warranty gonna sitting paying monthly program gonna applecare products gonna stop start,0,0,0,0,0,0,0
100,Steven,11,a,https://drive.google.com/open?id=1-qWTT99Qvht7Uxg5nzLdY4Bb9SQrgzJR&authuser=nick@gauge.io,https://drive.google.com/open?id=1-qWTT99Qvht7Uxg5nzLdY4Bb9SQrgzJR,video,extended warranty products purchased extent warranty apple care iphone ipad months apple care replace product accidental damage covered purchase extended warranty price extended warranty tv bought cost extent warranty cost actual tv price tvs financially decision warranty file cabinet file cabinet simple file cabinet warranty list fold starts apple care warranty warranty december product purchase warrantyonly purchase warranty apple products,0,0,0,0,0,0.649361,0
100,Steven,8,a,https://drive.google.com/open?id=1-OUg6czI90NQs3lA_m_VABD9-UwJNHL8&authuser=nick@gauge.io,https://drive.google.com/open?id=1-OUg6czI90NQs3lA_m_VABD9-UwJNHL8,photo,job remotely computer skype job week instance workmate couldnt hear quickly run geek squad diagnosed issue apparently ios update glitches theoretically charge item dont ive items quickly diagnose minutes feel bad dont charge id item fixed pay services,0,0,0,0,0.752106,0.673299,0
